,Istasyon_No,Istasyon_Adi,YIL,AY,GUN,SAAT,SICAKLIK_°C
24275,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,23.0,-1.4
24276,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,0.0,-0.7
24277,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,1.0,-1.4
24278,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,2.0,-2.1
24279,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,3.0,-1.6
24280,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,4.0,-2.2
24281,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,5.0,-2.5
24282,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,6.0,-1.8
24283,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,7.0,0.7
24284,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,8.0,2.1
24285,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,9.0,4.5
24286,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,10.0,5.7
24287,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,11.0,6.7
24288,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,12.0,8.5
24289,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,13.0,8.0
24290,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,14.0,6.3
24291,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,15.0,5.0
24292,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,16.0,4.7
24293,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,17.0,4.6
24294,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,18.0,5.6
24295,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,19.0,4.1
24296,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,20.0,3.5
24297,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,21.0,3.7
24298,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,22.0,3.4
24299,18046,ÇANKAYA/TBMM,2016.0,1.0,10.0,23.0,3.7
24300,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,0.0,3.9
24301,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,1.0,3.9
24302,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,2.0,4.2
24303,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,3.0,4.5
24304,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,4.0,4.3
24305,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,5.0,4.9
24306,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,6.0,5.3
24307,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,7.0,6.3
24308,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,8.0,6.9
24309,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,9.0,7.4
24310,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,10.0,9.1
