Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,4.057020,4.105520,4.052700,4.056650,4.056650,0
2018-05-02,4.108500,4.178560,4.091600,4.109000,4.109000,0
2018-05-03,4.182280,4.243660,4.155490,4.182720,4.182720,0
2018-05-04,4.223600,4.288770,4.219600,4.223190,4.223190,0
2018-05-07,4.240970,4.272570,4.224000,4.241680,4.241680,0
2018-05-08,4.263900,4.310300,4.262480,4.266400,4.266400,0
2018-05-09,4.350000,4.371200,4.254800,4.349600,4.349600,0
2018-05-10,4.287000,4.307470,4.224000,4.284400,4.284400,0
2018-05-11,4.237700,4.311070,4.230500,4.238140,4.238140,0
2018-05-14,4.312200,4.350760,4.303200,4.314200,4.314200,0
2018-05-15,4.351910,4.473420,4.349030,4.350800,4.350800,0
2018-05-16,4.452500,4.499960,4.395360,4.453800,4.453800,0
2018-05-17,4.429100,4.465140,4.412000,4.428900,4.428900,0
2018-05-18,4.458910,4.500650,4.442200,4.461300,4.461300,0
2018-05-21,4.497400,4.597930,4.493230,4.493240,4.493240,0
2018-05-22,4.577100,4.661790,4.542440,4.577970,4.577970,0
2018-05-23,4.734700,4.910990,4.734700,4.734500,4.734500,0
2018-05-24,4.573600,4.798350,4.554100,4.572200,4.572200,0
2018-05-25,4.756300,4.800940,4.687040,4.756100,4.756100,0
2018-05-28,4.703500,4.711850,4.556070,4.703100,4.703100,0
2018-05-29,4.581600,4.632970,4.535610,4.582300,4.582300,0
2018-05-30,4.560300,4.562300,4.447600,4.560170,4.560170,0
2018-05-31,4.467200,4.538800,4.455500,4.468600,4.468600,0
2018-06-01,4.526050,4.642830,4.520690,4.527910,4.527910,0
2018-06-04,4.648410,4.677990,4.579530,4.646500,4.646500,0
2018-06-05,4.584500,4.631280,4.583300,4.585000,4.585000,0
2018-06-06,4.594200,4.626180,4.553400,4.594900,4.594900,0
2018-06-07,4.559600,4.585120,4.457550,4.560000,4.560000,0
2018-06-08,4.480100,4.538350,4.470610,4.480300,4.480300,0
2018-06-11,4.463970,4.536750,4.463060,4.472500,4.472500,0
2018-06-12,4.521260,4.576700,4.520780,4.521000,4.521000,0
2018-06-13,4.588500,4.693240,4.583000,4.586900,4.586900,0
2018-06-14,4.660460,4.701700,4.604600,4.662800,4.662800,0
2018-06-15,4.740200,4.758050,4.711400,4.739590,4.739590,0
2018-06-18,4.744900,4.744900,4.680720,4.740500,4.740500,0
2018-06-19,4.707500,4.773350,4.701930,4.707000,4.707000,0
2018-06-20,4.741800,4.768020,4.727180,4.743600,4.743600,0
2018-06-21,4.745800,4.766530,4.728320,4.743100,4.743100,0
2018-06-22,4.738000,4.744800,4.678270,4.735100,4.735100,0
2018-06-25,4.611200,4.721780,4.538070,4.606970,4.606970,0
2018-06-26,4.687400,4.711130,4.616730,4.687000,4.687000,0
2018-06-27,4.607370,4.655950,4.595100,4.614000,4.614000,0
2018-06-28,4.619780,4.650100,4.577360,4.621300,4.621300,0
2018-06-29,4.591600,4.598170,4.556000,4.590500,4.590500,0
2018-07-02,4.590240,4.639100,4.586750,4.589890,4.589890,0
2018-07-03,4.612400,4.684830,4.596740,4.616100,4.616100,0
2018-07-04,4.674300,4.720860,4.667120,4.675100,4.675100,0
2018-07-05,4.673080,4.684800,4.593720,4.669590,4.669590,0
2018-07-06,4.607010,4.617560,4.571640,4.604270,4.604270,0
2018-07-09,4.579060,4.610920,4.511600,4.578800,4.578800,0
2018-07-10,4.711440,4.742270,4.646310,4.712470,4.712470,0
2018-07-11,4.713750,4.847440,4.703430,4.714700,4.714700,0
2018-07-12,4.886590,4.904900,4.785790,4.889970,4.889970,0
2018-07-13,4.863250,4.874370,4.813500,4.867600,4.867600,0
2018-07-16,4.853670,4.861980,4.824700,4.854950,4.854950,0
2018-07-17,4.852280,4.858250,4.776160,4.852910,4.852910,0
2018-07-18,4.802250,4.843780,4.767580,4.800300,4.800300,0
2018-07-19,4.796900,4.840100,4.793070,4.796090,4.796090,0
2018-07-20,4.806400,4.825300,4.770500,4.801030,4.801030,0
2018-07-23,4.778330,4.779000,4.736670,4.777910,4.777910,0
2018-07-24,4.737100,4.936000,4.735500,4.736900,4.736900,0
2018-07-25,4.879860,4.883400,4.815960,4.881100,4.881100,0
2018-07-26,4.796000,4.870540,4.781950,4.796600,4.796600,0
2018-07-27,4.868000,4.881610,4.841660,4.869940,4.869940,0
2018-07-30,4.854900,4.905960,4.847850,4.851330,4.851330,0
2018-07-31,4.883770,4.921340,4.875320,4.882780,4.882780,0
2018-08-01,4.918800,4.968000,4.907100,4.917900,4.917900,0
2018-08-02,4.983900,5.092670,4.960800,4.981250,4.981250,0
2018-08-03,5.092000,5.110900,5.062780,5.091600,5.091600,0
2018-08-06,5.099100,5.240720,5.090220,5.101000,5.101000,0
2018-08-07,5.261610,5.353180,5.182330,5.261500,5.261500,0
2018-08-08,5.257750,5.306220,5.224920,5.259140,5.259140,0
2018-08-09,5.305010,5.499080,5.299700,5.308900,5.308900,0
2018-08-10,5.552840,6.775750,5.549920,5.552000,5.552000,0
2018-08-13,6.800610,7.073800,6.401750,6.817800,6.817800,0
2018-08-14,6.953080,6.963000,6.403780,6.953300,6.953300,0
2018-08-15,6.373000,6.562960,5.882100,6.374900,6.374900,0
2018-08-16,5.956990,6.035800,5.699690,5.956990,5.956990,0
2018-08-17,5.857500,6.300830,5.738250,5.851000,5.851000,0
2018-08-20,6.008100,6.194410,5.978330,6.008000,6.008000,0
